parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,true_param,sim
v_2,1.599,0.004,0.318,0.969,1.386,1.598,1.817,2.212,6575.195,1,2.212,26
a,0.87,0.001,0.041,0.796,0.842,0.868,0.896,0.955,5797.61,1,0.816,26
ndt,0.493,0,0.004,0.484,0.49,0.493,0.495,0.499,6068.147,1.001,0.374,26
v_1,0.207,0.002,0.128,0.035,0.112,0.182,0.273,0.518,6586.232,1,0.322,27
v_2,0.214,0.002,0.136,0.034,0.113,0.186,0.287,0.547,7255.271,1,1.201,27
a,0.389,0,0.018,0.357,0.377,0.388,0.401,0.426,4393.502,1.001,0.709,27
ndt,0.492,0,0.001,0.489,0.491,0.492,0.493,0.494,4523.746,1.001,0.018,27
v_1,0.289,0.002,0.165,0.057,0.167,0.262,0.382,0.691,7604.706,1,2.588,28
v_2,0.217,0.002,0.132,0.037,0.118,0.193,0.292,0.543,7623.107,1,2.035,28
a,0.539,0,0.023,0.496,0.523,0.539,0.554,0.587,4813.389,1,0.666,28
ndt,0.487,0,0.002,0.482,0.485,0.487,0.489,0.491,5227.5,1,0.083,28
v_1,0.209,0.001,0.111,0.042,0.126,0.192,0.273,0.459,7551.244,1,1.061,29
v_2,1.443,0.003,0.241,0.965,1.28,1.446,1.604,1.918,6469.592,1,4.228,29
a,1.201,0.001,0.059,1.092,1.16,1.199,1.24,1.32,5267.472,1.001,1.449,29
ndt,0.454,0,0.01,0.432,0.448,0.454,0.461,0.471,5985.748,1.001,0.149,29
v_1,0.321,0.002,0.187,0.057,0.179,0.291,0.421,0.781,7606.773,1,0.683,30
v_2,0.279,0.002,0.164,0.051,0.158,0.248,0.37,0.668,7495.911,1,0.477,30
a,0.493,0,0.021,0.452,0.478,0.492,0.506,0.537,5607.265,1.001,0.411,30
ndt,0.496,0,0.002,0.492,0.495,0.496,0.497,0.499,5710.414,1,0.295,30
v_1,1.411,0.005,0.335,0.765,1.178,1.41,1.639,2.064,5083.603,1.001,2.158,31
v_2,2.345,0.004,0.36,1.644,2.1,2.348,2.582,3.056,6735.98,1,2.808,31
a,0.817,0.001,0.042,0.741,0.788,0.816,0.844,0.904,5333.694,1,0.772,31
ndt,0.503,0,0.004,0.494,0.5,0.503,0.506,0.51,5716.202,1,0.362,31
v_1,1.186,0.005,0.396,0.456,0.908,1.172,1.455,1.983,6428.198,1,2.181,32
v_2,0.655,0.004,0.295,0.153,0.436,0.631,0.845,1.29,6240.399,1,1.074,32
a,0.589,0,0.026,0.54,0.572,0.588,0.606,0.642,5091.079,1,0.598,32
ndt,0.505,0,0.002,0.5,0.504,0.505,0.507,0.509,5389.8,1.001,0.395,32
v_1,0.157,0.001,0.097,0.025,0.085,0.138,0.209,0.389,7213.381,1.001,0.74,33
v_2,0.181,0.001,0.11,0.032,0.099,0.159,0.239,0.454,7669.195,1,1.144,33
a,0.498,0,0.022,0.456,0.483,0.497,0.513,0.544,4549.768,1.001,0.884,33
ndt,0.486,0,0.002,0.481,0.484,0.486,0.487,0.489,4732.886,1,0.041,33
v_1,1.446,0.003,0.225,1.004,1.291,1.446,1.6,1.894,6266.558,1,2.735,34
v_2,0.529,0.002,0.181,0.193,0.401,0.525,0.647,0.9,6120.006,1,1.484,34
a,1.299,0.001,0.065,1.18,1.254,1.296,1.341,1.437,5461.285,1.001,1.326,34
ndt,0.47,0,0.01,0.447,0.463,0.471,0.477,0.487,5595.407,1,0.221,34
v_1,0.46,0.002,0.166,0.159,0.343,0.451,0.569,0.807,5949.275,1,1.332,35
v_2,1.667,0.003,0.211,1.251,1.523,1.668,1.81,2.083,6364.834,1,2.928,35
a,1.485,0.001,0.078,1.342,1.431,1.482,1.537,1.644,5812.842,1.001,1.533,35
ndt,0.466,0,0.012,0.439,0.458,0.467,0.474,0.485,5694.442,1,0.231,35
