context,resp,rt,rt_abs,sim
1,1,0.9750000000000001,0.9750000000000001,1
2,0,-0.627,0.627,1
2,0,-0.569,0.569,1
2,0,-1.171,1.171,1
1,0,-0.593,0.593,1
2,1,1.134,1.134,1
1,0,-0.879,0.879,1
1,0,-0.8260000000000001,0.8260000000000001,1
1,1,1.0590000000000002,1.0590000000000002,1
2,0,-0.547,0.547,1
1,1,0.9359999999999999,0.9359999999999999,1
2,0,-1.369,1.369,1
1,1,0.798,0.798,1
2,0,-0.6859999999999999,0.6859999999999999,1
1,1,0.6910000000000001,0.6910000000000001,1
1,0,-0.9650000000000001,0.9650000000000001,1
2,1,2.603,2.603,1
1,0,-0.614,0.614,1
1,1,2.157,2.157,1
1,1,1.1,1.1,1
1,1,1.076,1.076,1
1,0,-0.663,0.663,1
2,1,2.425,2.425,1
2,1,3.286,3.286,1
1,1,0.9630000000000001,0.9630000000000001,1
2,0,-2.088,2.088,1
2,0,-0.663,0.663,1
2,0,-0.547,0.547,1
1,0,-0.631,0.631,1
2,1,1.952,1.952,1
1,0,-0.5700000000000001,0.5700000000000001,1
1,0,-0.685,0.685,1
2,0,-0.5700000000000001,0.5700000000000001,1
2,1,0.896,0.896,1
2,1,2.72,2.72,1
2,0,-0.637,0.637,1
2,1,1.3130000000000002,1.3130000000000002,1
2,1,1.472,1.472,1
1,1,1.03,1.03,1
1,1,1.451,1.451,1
1,1,1.0550000000000002,1.0550000000000002,1
1,0,-0.6839999999999999,0.6839999999999999,1
2,1,0.706,0.706,2
2,0,-0.533,0.533,2
1,1,0.641,0.641,2
1,1,0.611,0.611,2
2,0,-0.511,0.511,2
2,0,-0.509,0.509,2
2,1,0.728,0.728,2
1,1,0.764,0.764,2
2,0,-0.504,0.504,2
1,0,-0.525,0.525,2
1,0,-0.508,0.508,2
2,1,0.565,0.565,2
1,0,-0.511,0.511,2
1,0,-0.507,0.507,2
2,0,-0.532,0.532,2
1,0,-0.505,0.505,2
2,0,-0.594,0.594,2
1,0,-0.513,0.513,2
2,0,-0.503,0.503,2
2,1,0.55,0.55,2
2,0,-0.508,0.508,2
2,0,-0.505,0.505,2
1,0,-0.513,0.513,2
1,1,0.532,0.532,2
1,1,0.767,0.767,2
2,0,-0.555,0.555,2
1,1,0.7949999999999999,0.7949999999999999,2
2,0,-0.529,0.529,2
2,0,-0.565,0.565,2
2,0,-0.526,0.526,2
2,1,0.774,0.774,2
1,1,0.552,0.552,2
2,0,-0.529,0.529,2
1,0,-0.505,0.505,2
2,0,-0.516,0.516,2
1,1,0.671,0.671,2
2,0,-0.509,0.509,2
1,0,-0.522,0.522,2
1,0,-0.613,0.613,2
2,0,-0.52,0.52,2
1,0,-0.554,0.554,2
2,0,-0.722,0.722,2
1,0,-0.55,0.55,2
2,1,0.602,0.602,2
2,0,-0.549,0.549,2
2,0,-0.513,0.513,2
1,0,-0.507,0.507,2
1,0,-0.523,0.523,2
1,0,-0.507,0.507,2
2,0,-0.873,0.873,2
1,0,-0.582,0.582,2
1,0,-0.522,0.522,2
1,1,0.6890000000000001,0.6890000000000001,2
2,0,-0.506,0.506,2
2,1,0.567,0.567,2
1,1,0.709,0.709,2
1,1,0.605,0.605,2
2,1,0.598,0.598,2
2,0,-0.507,0.507,2
1,0,-0.503,0.503,2
1,0,-0.509,0.509,2
2,0,-0.516,0.516,2
2,0,-0.517,0.517,2
2,0,-0.504,0.504,2
2,0,-0.503,0.503,2
2,0,-0.563,0.563,2
1,0,-0.525,0.525,2
2,1,0.579,0.579,2
2,1,0.867,0.867,2
2,1,0.663,0.663,2
2,0,-0.647,0.647,2
2,0,-0.521,0.521,2
2,0,-0.503,0.503,2
2,0,-0.526,0.526,2
2,0,-0.518,0.518,2
